Model,CV_R2,Val_R2,Val_RMSE,Val_MAE,Val_MAPE_%,Test_R2,Test_RMSE,Test_MAE,Test_MAPE_%
GradientBoosting,0.9973,0.9993,0.6729,0.3348,1.1194,0.9989,0.8393,0.346,1.0969
XGBoost,0.9968,0.9989,0.8257,0.4175,1.7138,0.9987,0.9092,0.4107,1.8723
Ridge,0.9963,0.9987,0.9058,0.5479,2.6836,0.999,0.7894,0.5112,2.9404
LightGBM,0.9967,0.9986,0.9597,0.4833,1.6719,0.9985,0.957,0.4375,2.6635
RandomForest,0.9767,0.975,4.0124,2.7374,25.2422,0.9747,3.9688,2.8141,27.2668
SVR,0.976,0.9749,4.0202,2.2037,17.6366,0.9746,3.9708,2.1499,16.9329
ExtraTrees,0.9535,0.9459,5.9086,4.7181,44.9538,0.9412,6.0466,4.8911,46.2488
ElasticNet,0.9124,0.8897,8.4347,6.7044,68.573,0.8834,8.517,6.9121,70.4309
