Model,Baseline_R2,Tuned_CV_R2,Tuned_Test_R2,Tuned_Test_RMSE,R2_Gain,Meets_0.95
LightGBM,0.9039,0.9402,0.9589,1.6449,0.055,YES
XGBoost,0.9166,0.9431,0.9576,1.6716,0.041,YES
